"pops","distance","countsum","orte","norm"
17865.150390625,319.8035361,148,"Cuxhaven, Niedersachsen",0.0082842851453221
22111.169921875,393.1107774,457,"Hindenburg, Sachsen-Anhalt",0.020668286735379
23145.599609375,381.7628776,142,"Stendal, Sachsen-Anhalt",0.00613507545263522
29227.990234375,114.7465557,119,"Prüm , Rheinland-Pfalz",0.0040714397071354
32824.62109375,111.3353755,116,"Gerolstein , Rheinland-Pfalz",0.00353393264369126
33400.890625,485.4218934,206,"Schwerin, Brandenburg",0.00616750021168036
34711.1484375,324.8810839,108,"Uelzen, Niedersachsen",0.00311139230078953
39339.83984375,413.7047252,174,"Wittenberg, Sachsen-Anhalt",0.00442299716244635
42784.0703125,226.4935276,110,"Husum, Niedersachsen",0.00257105037450964
42804.69921875,413.9229371,122,"Schleswig , Schleswig-Holstein",0.00285015435750474
47752.26953125,511.2312723,101,"Eberswalde, Brandenburg",0.00211508271735448
49433.8203125,162.903035233333,466,"Haselünne, Niedersachsen<br>Lingen (Ems), Niedersachsen<br>Meppen, Niedersachsen",0.00942674462653589
51147.87109375,393.646554,308,"Monheim (Bayern), Bayern",0.0060217560069208
51484.1484375,200.5258988,137,"Cloppenburg, Niedersachsen",0.00266101322752407
52154.359375,137.1739635,118,"Wittlich , Rheinland-Pfalz",0.00226251460882794
52540.7890625,394.3730955,129,"Rendsburg , Schleswig-Holstein",0.00245523530007415
54311.30859375,513.3949516,117,"Neubrandenburg, Mecklenburg-Vorpommern",0.00215424748601001
57017.16015625,288.2390159,102,"Wernigerode, Sachsen-Anhalt",0.00178893511568235
58009.0703125,198.1651677,143,"Vechta, Niedersachsen",0.00246513173249711
58293.390625,208.9120841,119,"Bad Hersfeld, Hessen",0.00204139781069734
58982.6484375,304.6609965,120,"Halberstadt, Sachsen-Anhalt",0.00203449663890824
59461.98046875,287.8401001,227,"Stolberg, Sachsen-Anhalt<br>Nordhausen , Thüringen",0.00381756541256306
61548.140625,220.4270736,292,"Leer (Ostfriesland), Niedersachsen<br>Papenburg, Niedersachsen",0.00474425379929989
63809.41015625,128.2899477,443,"Rheine , Nordrhein-Westfalen",0.00694254967903992
64033.33984375,550.7534804,180,"Frankfurt an der Oder, Brandenburg",0.00281103563298782
65325.94140625,415.5385722,105,"Eutin , Schleswig-Holstein",0.00160732471265931
65358.19140625,520.9201467,105,"Hoyerswerda, Sachsen",0.00160653160286132
65402.78125,166.8767605,144,"Warburg, Nordrhein-Westfalen",0.00220174122946797
65899.5,322.1448465,138,"Stade Hanse, Niedersachsen",0.00209409783078779
66312.40625,416.4389623,208,"Brandenburg an der Havel, Brandenburg",0.00313666795947402
66589.5,275.6613111,297,"Celle, Niedersachsen",0.00446016263825378
67245.09375,216.8774269,220,"Fulda, Hessen",0.0032716141465711
68414.9921875,126.335222,249,"Brilon , Nordrhein-Westfalen",0.00363955314527529
69073.84375,312.7231691,115,"Helmstedt, Niedersachsen",0.00166488490804452
69901.703125,549.713313,144,"Greifswald, Mecklenburg-Vorpommern",0.00206003564380249
72711.59375,193.738614866667,501,"Bad Pyrmont, Niedersachsen<br>Holzminden, Niedersachsen<br>Höxter , Nordrhein-Westfalen",0.00689023543786647
74344.7578125,534.731525,104,"Bautzen, Sachsen",0.00139888814033521
74602.1171875,547.609523,134,"Stralsund, Mecklenburg-Vorpommern",0.00179619567180933
75239.203125,276.7452619,123,"Gotha , Thüringen",0.0016347860542283
75322.953125,138.2192108,383,"Nordhorn, Niedersachsen",0.0050847714290278
75878.21875,264.9443379,150,"Goslar, Niedersachsen",0.00197685188807888
76097.609375,241.4619281,119,"Emden, Niedersachsen",0.00156378105668973
76617.109375,255.0525756,131,"Aurich, Niedersachsen",0.0017098008665248
79715.703125,91.8597679,533,"Arnsberg, Nordrhein-Westfalen",0.00668626103898522
80666.046875,461.8626576,114,"Freiberg, Sachsen",0.00141323399889242
