"Geburtsland","Geburtsort","Geburtsort_Land","Anzahl","Lat_Bing","Long_Bing","Distanz","pop","norm"
"Sachsen","Görlitz","Görlitz, Sachsen",230,51.12950134,14.98349953,573.7847614,57111,0.00402724518919298
"Brandenburg","Frankfurt an der Oder","Frankfurt an der Oder, Brandenburg",180,52.34370041,14.55099964,550.7534804,62594,0.00287567498482283
"Mecklenburg-Vorpommern","Greifswald","Greifswald, Mecklenburg-Vorpommern",144,54.08974457,13.39124393,549.713313,53434,0.00269491335104989
"Mecklenburg-Vorpommern","Stralsund","Stralsund, Mecklenburg-Vorpommern",134,54.30881119,13.09450722,547.609523,58288,0.00229892945374691
"Sachsen","Bautzen","Bautzen, Sachsen",104,51.17689896,14.42910004,534.731525,41779,0.0024892888771871
"Brandenburg","Cottbus","Cottbus, Brandenburg",210,51.76089859,14.35079956,529.3657332,103837,0.0020224004930805
"Sachsen","Hoyerswerda","Hoyerswerda, Sachsen",105,51.43901825,14.24427986,520.9201467,39214,0.00267761513745091
"Mecklenburg-Vorpommern","Neubrandenburg","Neubrandenburg, Mecklenburg-Vorpommern",117,53.55918503,13.27782536,513.3949516,67517,0.00173289690003999
"Brandenburg","Eberswalde","Eberswalde, Brandenburg",101,52.832901,13.75199986,511.2312723,41787,0.00241701964725872
"Bayern","München","München, Bayern",1673,48.10155106,11.57227039,489.411443,1353186,0.00123634149333499
"Sachsen","Dresden","Dresden, Sachsen",1073,51.05363083,13.74081039,487.6428491,523058,0.00205139774174183
"Brandenburg","Schwerin","Schwerin, Brandenburg",206,52.15819931,13.63269997,485.4218934,96280,0.00213959285417532
"Mecklenburg-Vorpommern","Rostock","Rostock, Mecklenburg-Vorpommern",410,54.0790596,12.13216019,482.2837847,199868,0.00205135389356976
"Berlin","Berlin","Berlin, Berlin",5692,52.51607132,13.37697983,476.9283607,3442675,0.00165336547887907
"Sachsen","Meißen","Meißen, Sachsen",105,51.162428,13.494248,469.5561505,28057,0.00374238158035428
"Sachsen","Freiberg","Freiberg, Sachsen",114,50.91059875,13.34889984,461.8626576,42897,0.0026575284984964
"Brandenburg","Potsdam","Potsdam, Brandenburg",303,52.38288879,13.04601002,451.4151898,156906,0.00193109250124278
"Bayern","Regensburg","Regensburg, Bayern",166,49.02399826,12.07590008,450.397446,135520,0.00122491145218418
"Schleswig-Holstein","Flensburg ","Flensburg , Schleswig-Holstein",271,54.79779816,9.477919579,437.6657017,86630,0.00312824656585478
"Bayern","Augsburg","Augsburg, Bayern",252,48.35509872,10.93309975,436.5638867,262512,0.000959956116291827
"Sachsen","Chemnitz","Chemnitz, Sachsen",540,50.83620071,12.93700027,434.1667047,245700,0.0021978021978022
"Baden-Württemberg","Konstanz","Konstanz, Baden-Württemberg",120,47.67670059,9.182880402,430.2429327,81006,0.00148137175024072
"Brandenburg","Brandenburg an der Havel","Brandenburg an der Havel, Brandenburg",208,52.41090012,12.50090027,416.4389623,72516,0.00286833250592973
"Schleswig-Holstein","Eutin ","Eutin , Schleswig-Holstein",105,54.13729858,10.6086998,415.5385722,17334,0.00605745932848737
"Schleswig-Holstein","Schleswig ","Schleswig , Schleswig-Holstein",122,54.53390121,9.562609673,413.9229371,24121,0.00505783342315824
"Sachsen-Anhalt","Wittenberg","Wittenberg, Sachsen-Anhalt",174,51.8676796,12.64865971,413.7047252,46133,0.00377170355277134
"Schleswig-Holstein","Kiel","Kiel, Schleswig-Holstein",735,54.32324982,10.1322403,413.1260786,235366,0.00312279598582633
"Sachsen","Zwickau","Zwickau, Sachsen",213,50.71789932,12.45730019,402.8081702,96786,0.00220073151075569
"Thüringen","Altenburg ","Altenburg , Thüringen",113,50.98659897,12.43980026,397.4341096,37236,0.00303469760446879
