"pops","distance","countsum","orte","norm"
21453.630859375,1122.321377,103,"Split, Kroatien",0.00480105212377093
32825.87890625,3312.590478,113,"Mosul, Irak",0.00344240592377513
35233.73046875,2589.739064,170,"Avanos, Türkei",0.00482492196365011
38557.80078125,2630.279481,106,"Kayseri, Türkei",0.00274911944800405
44827.51171875,1814.782222,215,"Komotini, Griechenland",0.00479616181573763
45737.890625,1196.753974,246,"Sarajevo, Bosnien und Herzegowina",0.00537847278565877
48739.109375,1737.919775,155,"Drama, Griechenland",0.00318019762748281
48880.140625,1157.536956,160,"Tuzla, Bosnien und Herzegowina",0.0032733130051219
50094.44921875,1142.27792,106,"Zenica, Bosnien und Herzegowina",0.00211600290357769
50898.609375,814.2599648,220,"Strzelce Opolskie (Groß Strehlitz), Polen",0.00432231848181019
54529.828125,1199.485271,125,"Sabac, Serbien",0.00229232338149791
55172.25,2170.411793,178,"Kenitra, Marokko",0.00322625957795812
56220.08984375,1241.326102,1084,"Belgrad, Serbien",0.0192813637084664
58417.44921875,1782.566298,103,"Xanthi, Griechenland",0.00176317181557014
58436.44140625,1971.9589655,329,"Ben Taieb, Marokko<br>Beni Oulichek, Marokko",0.00563004851224243
63573.12890625,1986.60608,157,"Midar, Marokko",0.00246959686743631
67953.7265625,1973.211637,117,"Temsamane, Marokko",0.00172175987864904
69259.5625,1954.425445,173,"Beni Sidel, Marokko",0.00249785002612455
70618.09375,1709.239586,274,"Serres, Griechenland",0.00388002543611566
70795.53125,1095.4087,222,"Elk (Lyck), Polen",0.00313579114500959
76397.09375,4068.017943,136,"Ahvaz, Iran",0.00178017242966131
86304.78125,2635.524438,160,"Ordu, Türkei",0.0018538949717806
86586.796875,818.1577987,324,"Racibórz (Ratibor), Polen",0.00374190998735914
87213.0078125,1226.101115,163,"Timisoara, Rumänien",0.00186898725417698
88572.2265625,1731.285365,102,"Stara Sagora, Bulgarien",0.0011516025277746
88712.8828125,904.9132434,386,"Zagreb, Kroatien",0.0043511155061417
92696.2265625,2370.608761,293,"Ankara, Türkei",0.00316086221484373
95077.7734375,4650.765031,158,"Pawlodar, Kasachstan",0.00166179743474812
95953.5390625,1457.56368,191,"Prizren, Kosovo",0.00199054669443293
97507.21875,3142.638271,134,"Hasaka, Syrien",0.00137425722646817
104214.1015625,4453.353091,100,"Meschhed, Iran",0.000959563038981124
105496.296875,4463.237302,168,"Schiras, Iran",0.00159247295854431
107787.1015625,1685.751964,100,"Ioannina, Griechenland",0.000927754792089064
112330.796875,1544.815529,133,"Partinico, Italien",0.0011840029956166
115552.796875,1445.570149,160,"Pristina, Kosovo",0.00138464844060054
116015.796875,1468.388252,129,"Ferizaj, Kosovo",0.00111191754463394
127345,1488.238055,226,"Tetovo, Mazedonien",0.00177470650594841
132427.203125,998.9353983,470,"Königsberg, Russische Föderation",0.0035491197345334
136513.09375,3153.036809,105,"Daraa, Syrien",0.000769156987917139
137009.40625,1965.753958,264,"Oujda, Marokko",0.00192687500242342
140002.296875,2134.176811,149,"Izmir, Türkei",0.00106426825363468
140655.796875,913.0009685,129,"Elblag (Elbing), Polen",0.000917132481319924
153000,1519.246428,420,"Kumanovo, Mazedonien",0.00274509803921569
160386.796875,786.5841711,472,"Opole (Oppeln), Polen",0.00294288563146417
164512.796875,2203.180142,169,"Rabat, Marokko",0.00102727570870009
175482,973.7085833,615,"Olsztyn (Allenstein), Polen",0.00350463295380723
176744.09375,8006.619819,134,"Jaffna, Sri Lanka",0.000758158290650094
183113.203125,8367.071606,202,"Hubei, China",0.00110314273658414
195990,2562.262705,263,"Aksaray, Türkei",0.00134190519924486
2e+05,3016.642092,100,"Homs, Syrien",5e-04
200001,1942.812443,792,"Nador, Marokko",0.003959980200099
217572.40625,4900.092724,136,"Asmara, Eritrea",0.000625079265997225
219987.203125,1698.229376,149,"Plowdiw, Bulgarien",0.00067731212490272
220177.40625,682.07207,211,"Swidnica, Polen",0.000958318128974689
220928.296875,8997.207858,207,"Zhejiang, China",0.000936955577569674
221273,1557.11124,145,"Bacau, Rumänien",0.000655299110149001
221876,2497.756745,182,"Kirsehir, Türkei",0.00082027799311327
224726,1821.946546,127,"Warna, Bulgarien",0.000565132650427632
228122,8033.466716,171,"Liaoning, China",0.000749598898834834
238445.59375,1295.83539,327,"Riga, Lettland",0.00137138201992881
260736.09375,8238.758702,193,"Shandong, China",0.000740212055892243
263285.59375,842.04276285,520,"Gliwice (Gleiwitz), Polen<br>Pyskowice (Peiskretscham), Polen",0.00197504159872021
296130.40625,8601.248784,248,"Jiangsu, China",0.000837468881161203
303160.40625,797.7638509,341,"Bydgoszcz (Bromberg), Polen",0.00112481707033601
305489.1875,8624.130429,125,"Hunan, China",0.000409179784800076
309247,4547.270675,341,"Karaganda, Kasachstan",0.00110267844150469
309958.8125,4168.137179,121,"Isfahan, Iran",0.000390374446927525
314369.40625,2075.611055,351,"Charkow, Ukraine",0.00111652086056004
314653.40625,4771.651347,121,"Herat, Afghanistan",0.000384550103690479
319874.40625,3499.192882,218,"Baku, Aserbaidschan",0.000681517482300915
323236.59375,839.8671009,105,"Rybnik, Polen",0.000324839458248993
336662,717.6946209,1370,"Wroclaw (Breslau), Polen",0.00406936333770963
341924.8125,584.2302131,502,"Szczecin (Stettin), Polen",0.00146815902692057
343628.8125,9382.995847,168,"Chiba, Japan",0.000488899632070288
348973.8125,2131.124347,126,"Fes, Marokko",0.000361058610952362
352623.59375,1808.638006,129,"Constanta, Rumänien",0.000365829179574006
352753.59375,4970.395138,105,"Benin City, Nigeria",0.000297658200682753
361788,945.1334318,127,"Kraków (Krakau), Polen",0.000351034307384435
363740.6875,2136.957436,147,"Simferopol, Ukraine",0.000404134057727595
376136.5,2986.278089,177,"Tripoli, Libanon",0.000470573847526098
376238.8125,1573.84657,105,"Iasi, Rumänien",0.000279078065610257
399822.3125,918.244798,121,"Dublin, Irland",0.000302634435890818
401481.40625,1666.820944,128,"Chisinau, Moldawien",0.000318819247933727
403534.09375,882.4969942,210,"Lodz, Polen",0.000520402125254132
422423.90625,870.0305463,641,"Gdansk  (Danzig), Polen",0.00151743305839476
428146.8125,1990.9388325,313,"Beni Touzine, Marokko<br>Tanger, Marokko",0.000731057643924419
437231.8125,8192.308443,112,"Henan, China",0.000256157024255869
477057.1875,1575.362577,362,"Sofia, Bulgarien",0.000758818878501857
490299.5,4308.610573,241,"Omsk, Russische Föderation",0.000491536295672339
502490.90625,2040.903116,387,"Dnepropetrowsk, Ukraine",0.000770163191386113
504268.1875,869.3159261,807,"Katowice (Kattowitz), Polen<br>Siemianowice Slaskie (Laurahütte), Polen",0.00160033890696307
536271,1514.581237,1310,"Skopje, Mazedonien",0.00244279478099692
542033.125,5176.571027,176,"Almaty (Alma-Ata), Kasachstan",0.000324703402582637
542696.875,706.4006417,157,"Poznan (Posen), Polen",0.000289295935230878
