Geburtsland,Geburtsort,Geburtsort_Land,Anzahl,Lat_Bing,Long_Bing,Distanz,pop,norm
Argentinien,Buenos Aires,"Buenos Aires, Argentinien",142,-34.61455536,-58.44587708,11426.4105,2891082,0.0000491165591290735
Peru,Lima,"Lima, Peru",139,-12.05613995,-77.02680206,10608.84951,8472935,0.0000164051771906665
Brasilien,Sao Paulo,"Sao Paulo, Brasilien",111,-23.56283951,-46.6546402,9778.844099,10659386,0.0000104133577675112
Vietnam,Saigon,"Saigon, Vietnam",142,10.77822971,106.70327,9760.731703,5968384,0.0000237920348288582
Brasilien,Rio de Janeiro,"Rio de Janeiro, Brasilien",105,-22.91216087,-43.17501068,9540.317328,5940224,0.0000176761011032581
Taiwan,Taipei,"Taipei, Taiwan",112,25.04743958,121.516098,9434.006502,2619000,0.0000427644138984345
Mexiko,Mexiko-Stadt,"Mexiko-Stadt, Mexiko",169,19.27938652,-99.134758,9412.087952,8851000,0.0000190938876963055
Japan,Chiba,"Chiba, Japan",168,35.45575333,140.2040863,9382.995847,925951,0.0001814350867378510
Japan,Kanagawa,"Kanagawa, Japan",267,35.37968063,139.3903961,9356.459497,9072000,0.0000294312169312169
Japan,Tokio,"Tokio, Japan",956,35.68320847,139.8089447,9344.146412,13297629,0.0000718925155755210
Japan,Saitama,"Saitama, Japan",158,35.86591339,139.6446075,9319.314063,1222434,0.0001292503317152500
Japan,Aichi,"Aichi, Japan",212,34.9705162,137.1820679,9301.531908,7263000,0.0000291890403414567
Japan,Osaka,"Osaka, Japan",382,34.67752075,135.5129089,9255.673577,2525153,0.0001512779621670450
China,Hong Kong,"Hong Kong, China",145,22.33615685,114.1869659,9237.123214,7234800,0.0000200420191297617
Japan,Hyogo,"Hyogo, Japan",171,34.92504883,134.8162231,9200.272175,5572000,0.0000306891600861450
Japan,Kyoto,"Kyoto, Japan",131,35.32315063,135.4155884,9189.00499,1386899,0.0000944553280375860
Japan,Fukuoka,"Fukuoka, Japan",124,33.5839653,130.4128571,9120.067377,1384820,0.0000895423231900175
China,Guangdong,"Guangdong, China",178,23.20279884,113.3743896,9110.308755,104300000,0.0000017066155321189
Thailand,Bangkok,"Bangkok, Thailand",136,13.75335026,100.5048294,9082.559129,5695956,0.0000238765889343246
Kolumbien,Bogota,"Bogota, Kolumbien",124,4.31533432,-74.17960358,9001.261547,7674366,0.0000161576865111724
China,Zhejiang,"Zhejiang, China",207,29.19950485,120.4452667,8997.207858,51800000,0.0000039961389961390
China,Shanghai,"Shanghai, China",379,31.22414589,121.5161362,8874.322697,14007000,0.0000270578996216178
China,Hunan,"Hunan, China",125,27.58358383,111.6998444,8624.130429,64060000,0.0000019512956603185
China,Jiangsu,"Jiangsu, China",248,33.01850128,119.4911652,8601.248784,77250000,0.0000032103559870550
"Korea, Republik",Seoul,"Seoul, Korea, Republik",744,37.566535,126.9779692,8580.280949,9708483,0.0000766340117194416
China,Hubei,"Hubei, China",202,30.94911957,112.2711334,8367.071606,57200000,0.0000035314685314685
China,Shandong,"Shandong, China",193,36.37627029,118.3159714,8238.758702,95790000,0.0000020148240943731
China,Henan,"Henan, China",112,33.86470795,113.5865707,8192.308443,94020000,0.0000011912359072538
China,Liaoning,"Liaoning, China",171,41.17638397,122.5526962,8033.466716,43190000,0.0000039592498263487
Sri Lanka,Jaffna,"Jaffna, Sri Lanka",134,9.658760071,80.01898956,8006.619819,169102,0.0007924211422691630
Venezuela,Caracas,"Caracas, Venezuela",103,10.49536991,-66.84887695,7961.685238,4543901,0.0000226677473827005
China,Beijing,"Beijing, China",125,39.90657043,116.3876495,7826.221209,12458000,0.0000100337132766094
China,Sichuan,"Sichuan, China",145,30.60892487,102.7037048,7805.169554,81850000,0.0000017715332926084
"Kongo, Dem.Republik (Zaire)",Kinshasa,"Kinshasa, Kongo, Dem.Republik (Zaire)",167,-4.4419311,15.2662931,6211.581117,7273947,0.0000229586495474878
Vereinigte Staaten,New York,"New York, Vereinigte Staaten",179,40.7820015,-73.83170319,6030.255628,8336697,0.0000214713333110223
Afghanistan,Kabul,"Kabul, Afghanistan",586,34.53155136,69.12535095,5242.666616,2938300,0.0001994350474764320
Kasachstan,Almaty (Alma-Ata),"Almaty (Alma-Ata), Kasachstan",176,43.25051117,76.88812256,5176.571027,1472866,0.0001194949167134010
Ghana,Accra,"Accra, Ghana",621,5.581069946,-0.198970005,5093.665542,1963264,0.0003163099817446860
Ghana,Kumasi,"Kumasi, Ghana",447,6.697450161,-1.629840016,4990.038901,1468609,0.0003043696450178370
Nigeria,Benin City,"Benin City, Nigeria",105,6.333940029,5.624499798,4970.395138,1125058,0.0000933285217295464
Nigeria,Lagos,"Lagos, Nigeria",127,6.60160017,3.396859884,4949.590188,7937932,0.0000159991292442414
Eritrea,Asmara,"Asmara, Eritrea",136,15.33298969,38.92047119,4900.092724,563930,0.0002411646835600160
Usbekistan,Taschkent,"Taschkent, Usbekistan",236,41.32051086,69.30666351,4790.899181,2140600,0.0001102494627674480
Afghanistan,Herat,"Herat, Afghanistan",121,34.34376144,62.18511963,4771.651347,274000,0.0004416058394160580
Kasachstan,Pawlodar,"Pawlodar, Kasachstan",158,52.33044052,76.96981812,4650.765031,307880,0.0005131869559568660
Kasachstan,Karaganda,"Karaganda, Kasachstan",341,49.78739929,73.14820099,4547.270675,475267,0.0007174914311323950
Iran,Schiras,"Schiras, Iran",168,29.59100914,52.53059006,4463.237302,1461000,0.0001149897330595480
Iran,Meschhed,"Meschhed, Iran",100,36.28292084,59.59812164,4453.353091,2766000,0.0000361532899493854
Russische Föderation,Omsk,"Omsk, Russische Föderation",241,54.99414063,73.36470795,4308.610573,1127675,0.0002137140576850600
Iran,Isfahan,"Isfahan, Iran",121,32.65085983,51.68386078,4168.137179,1602110,0.0000755254008775927
Iran,Ahvaz,"Ahvaz, Iran",136,31.31671333,48.68438339,4068.017943,985614,0.0001379850529720560
Iran,Teheran,"Teheran, Iran",2613,35.68954086,51.4146843,3925.465665,8154000,0.0003204562178072110
Irak,Bagdad,"Bagdad, Irak",352,33.34180069,44.39350128,3623.60071,6250000,0.0000563200000000000
Russische Föderation,Tscheljabinsk,"Tscheljabinsk, Russische Föderation",145,55.16305923,61.38861084,3582.066781,1150000,0.0001260869565217390
Aserbaidschan,Baku,"Baku, Aserbaidschan",218,40.41059875,49.8722496,3499.192882,2122300,0.0001027187485275410
Irak,Mosul,"Mosul, Irak",113,36.32460022,43.11709976,3312.590478,1450000,0.0000779310344827586
Syrien,Daraa,"Daraa, Syrien",105,32.61819839,36.10512924,3153.036809,97969,0.0010717675999550900
Syrien,Hasaka,"Hasaka, Syrien",134,36.49594879,40.76530838,3142.638271,175000,0.0007657142857142860
Ägypten,Kairo,"Kairo, Ägypten",180,30.04541969,31.2421093,3100.780471,9120350,0.0000197360846897323
Syrien,Damaskus,"Damaskus, Syrien",573,33.5165596,36.31708145,3090.919423,1711000,0.0003348918760958500
Georgien,Tiflis,"Tiflis, Georgien",241,41.72565079,44.79304886,3063.636778,1106700,0.0002177645251649050
Syrien,Homs,"Homs, Syrien",100,34.73218918,36.71767044,3016.642092,775404,0.0001289650298425080
Libanon,Beirut,"Beirut, Libanon",190,33.89606857,35.50677872,3009.602849,2006452,0.0000946945154930195
Libanon,Tripoli,"Tripoli, Libanon",177,34.44100189,35.85499954,2986.278089,1063571,0.0001664204834468030
Syrien,Aleppo,"Aleppo, Syrien",503,36.22185135,37.13188171,2925.462266,2132100,0.0002359176398855590
Türkei,Ordu,"Ordu, Türkei",160,40.98109818,37.9048996,2635.524438,134005,0.0011939852990560100
Türkei,Kayseri,"Kayseri, Türkei",106,38.72098923,35.48337936,2630.279481,882663,0.0001200911333090890
Türkei,Avanos,"Avanos, Türkei",170,38.70600128,34.84500122,2589.739064,12833,0.0132470973272033000
Türkei,Aksaray,"Aksaray, Türkei",263,38.36780167,34.03068161,2562.262705,171423,0.0015342165287038500
Türkei,Kirsehir,"Kirsehir, Türkei",182,39.31573868,34.11726379,2497.756745,99832,0.0018230627454122900
Türkei,Ankara,"Ankara, Türkei",293,39.94290161,32.86050034,2370.608761,4338620,0.0000675329943622627
Marokko,Casablanca,"Casablanca, Marokko",295,33.58848953,-7.677189827,2280.355471,3111977,0.0000947950450790607
Marokko,Rabat,"Rabat, Marokko",169,34.02088928,-6.841639996,2203.180142,1622860,0.0001041371406036260
Marokko,Kenitra,"Kenitra, Marokko",178,34.25439835,-6.605750084,2170.411793,359142,0.0004956256856619390
Ukraine,Simferopol,"Simferopol, Ukraine",147,44.95748138,34.10826874,2136.957436,341599,0.0004303291285981520
Türkei,Izmir,"Izmir, Türkei",149,38.42618179,27.14191055,2134.176811,2783866,0.0000535226911065403
Marokko,Fes,"Fes, Marokko",126,34.0428009,-5.015520096,2131.124347,946815,0.0001330777395795380
Russische Föderation,Moskau,"Moskau, Russische Föderation",1240,55.75696945,37.61502075,2089.507811,10563038,0.0001173904704309500
Ukraine,Charkow,"Charkow, Ukraine",351,50.00423813,36.23575974,2075.611055,1452256,0.0002416929246634200
Türkei,Istanbul,"Istanbul, Türkei",557,41.06072998,28.98777008,2040.98987,13301345,0.0000418754644737055
Ukraine,Dnepropetrowsk,"Dnepropetrowsk, Ukraine",387,48.47531128,35.01612091,2040.903116,987629,0.0003918475459914600
Marokko,Beni Touzine,"Beni Touzine, Marokko",181,35.7397995,-5.846680164,1992.116336,NA,NA
Marokko,Tanger,"Tanger, Marokko",132,35.74900055,-5.810929775,1989.761329,669685,0.0001971075953619990
