"pops","distance","countsum","orte","norm"
17915.98046875,319.8035361,148,"Cuxhaven, Niedersachsen",0.00826078149940772
21453.630859375,1122.321377,103,"Split, Kroatien",0.00480105212377093
23211.490234375,381.7628776,142,"Stendal, Sachsen-Anhalt",0.00611765976963019
29311.310546875,114.7465557,119,"Prüm , Rheinland-Pfalz",0.00405986623524369
32825.87890625,3312.590478,113,"Mosul, Irak",0.00344240592377513
32918.0703125,111.3353755,116,"Gerolstein , Rheinland-Pfalz",0.00352390036532461
33495.87109375,485.4218934,206,"Schwerin, Brandenburg",0.00615001172602547
34809.83984375,324.8810839,108,"Uelzen, Niedersachsen",0.00310257101109275
35233.73046875,2589.739064,170,"Avanos, Türkei",0.00482492196365011
38557.80078125,2630.279481,106,"Kayseri, Türkei",0.00274911944800405
39451.76953125,413.7047252,174,"Wittenberg, Sachsen-Anhalt",0.00441044855699498
42905.69921875,226.4935276,110,"Husum, Niedersachsen",0.00256376197108867
42926.46875,413.9229371,122,"Schleswig , Schleswig-Holstein",0.00284206932348704
44827.51171875,1814.782222,215,"Komotini, Griechenland",0.00479616181573763
45737.890625,1196.753974,246,"Sarajevo, Bosnien und Herzegowina",0.00537847278565877
47888.26171875,511.2312723,101,"Eberswalde, Brandenburg",0.00210907634512144
48739.109375,1737.919775,155,"Drama, Griechenland",0.00318019762748281
48880.140625,1157.536956,160,"Tuzla, Bosnien und Herzegowina",0.0032733130051219
49574.3203125,162.903035233333,466,"Haselünne, Niedersachsen<br>Meppen, Niedersachsen<br>Lingen (Ems), Niedersachsen",0.00940002801979919
50094.44921875,1142.27792,106,"Zenica, Bosnien und Herzegowina",0.00211600290357769
50898.609375,814.2599648,220,"Strzelce Opolskie (Groß Strehlitz), Polen",0.00432231848181019
51293.58984375,393.646554,308,"Monheim (Bayern), Bayern",0.00600464894226016
51630.640625,200.5258988,137,"Cloppenburg, Niedersachsen",0.00265346310527209
52302.66015625,137.1739635,118,"Wittlich , Rheinland-Pfalz",0.002256099396235
52690.19921875,394.3730955,129,"Rendsburg , Schleswig-Holstein",0.00244827314970741
54465.73046875,513.3949516,117,"Neubrandenburg, Mecklenburg-Vorpommern",0.00214813973838337
54529.828125,1199.485271,125,"Sabac, Serbien",0.00229232338149791
55172.25,2170.411793,178,"Kenitra, Marokko",0.00322625957795812
56220.08984375,1241.326102,1084,"Belgrad, Serbien",0.0192813637084664
57179.25,288.2390159,102,"Wernigerode, Sachsen-Anhalt",0.00178386390167762
58173.94140625,198.1651677,143,"Vechta, Niedersachsen",0.00245814528882234
58417.44921875,1782.566298,103,"Xanthi, Griechenland",0.00176317181557014
58436.44140625,1971.9589655,329,"Ben Taieb, Marokko<br>Beni Oulichek, Marokko",0.00563004851224243
58459.37890625,208.9120841,119,"Bad Hersfeld, Hessen",0.0020356015104238
59150.48046875,304.6609965,120,"Halberstadt, Sachsen-Anhalt",0.00202872401118361
59631.16015625,287.8401001,227,"Stolberg, Sachsen-Anhalt<br>Nordhausen , Thüringen",0.00380673458985533
61723.3203125,220.4270736,292,"Leer (Ostfriesland), Niedersachsen<br>Papenburg, Niedersachsen",0.00473078892259244
63573.12890625,1986.60608,157,"Midar, Marokko",0.00246959686743631
63990.80859375,128.2899477,443,"Rheine , Nordrhein-Westfalen",0.00692286923286773
64170.4296875,550.7534804,180,"Frankfurt an der Oder, Brandenburg",0.00280503030564969
65511.73046875,415.5385722,105,"Eutin , Schleswig-Holstein",0.00160276639387638
65544.15625,520.9201467,105,"Hoyerswerda, Sachsen",0.00160197347875693
65588.75,166.8767605,144,"Warburg, Nordrhein-Westfalen",0.00219549846581921
66087.0078125,322.1448465,138,"Stade Hanse, Niedersachsen",0.00208815627409746
66501.109375,416.4389623,208,"Brandenburg an der Havel, Brandenburg",0.00312776737042216
66778.953125,275.6613111,297,"Celle, Niedersachsen",0.00444750907436451
67436.2109375,216.8774269,220,"Fulda, Hessen",0.00326234224820099
67953.7265625,1973.211637,117,"Temsamane, Marokko",0.00172175987864904
68609.53125,126.335222,249,"Brilon , Nordrhein-Westfalen",0.0036292333654444
69259.5625,1954.425445,173,"Beni Sidel, Marokko",0.00249785002612455
69270.5390625,312.7231691,115,"Helmstedt, Niedersachsen",0.00166015742848832
70101.28125,549.713313,144,"Greifswald, Mecklenburg-Vorpommern",0.00205417072886952
70618.09375,1709.239586,274,"Serres, Griechenland",0.00388002543611566
70795.53125,1095.4087,222,"Elk (Lyck), Polen",0.00313579114500959
72918.6796875,193.738614866667,501,"Holzminden, Niedersachsen<br>Bad Pyrmont, Niedersachsen<br>Höxter , Nordrhein-Westfalen",0.00687066746335896
74533.09375,534.731525,104,"Bautzen, Sachsen",0.00139535332249642
74815.046875,547.609523,134,"Stralsund, Mecklenburg-Vorpommern",0.00179108355333768
75270.96875,138.2192108,383,"Nordhorn, Niedersachsen",0.0050882831237641
75453.140625,276.7452619,123,"Gotha , Thüringen",0.00163015083243926
76093.96875,264.9443379,150,"Goslar, Niedersachsen",0.00197124689990624
76216.4765625,241.4619281,119,"Emden, Niedersachsen",0.00156134218435585
76397.09375,4068.017943,136,"Ahvaz, Iran",0.00178017242966131
76835.2421875,255.0525756,131,"Aurich, Niedersachsen",0.00170494679616318
79942.4375,91.8597679,533,"Arnsberg, Nordrhein-Westfalen",0.0066672973287811
80895.6484375,461.8626576,114,"Freiberg, Sachsen",0.001409222896434
80959.796875,350.5144174,111,"Bernburg, Sachsen-Anhalt",0.00137105087073503
81151.2421875,312.1408436,125,"Coburg, Bayern",0.00154033378455486
82150.796875,226.4988732,763,"Northeim, Niedersachsen<br>Göttingen, Niedersachsen",0.00928779791583732
84840.9609375,108.83771195,390,"Warstein , Nordrhein-Westfalen<br>Meschede, Nordrhein-Westfalen",0.00459683619433898
86304.78125,2635.524438,160,"Ordu, Türkei",0.0018538949717806
86586.796875,818.1577987,324,"Racibórz (Ratibor), Polen",0.00374190998735914
87213.0078125,1226.101115,163,"Timisoara, Rumänien",0.00186898725417698
87250.3671875,385.5236366,267,"Dessau, Sachsen-Anhalt",0.00306015904123613
88437.5390625,147.6803262,407,"Marburg, Hessen",0.00460211810860508
88572.2265625,1731.285365,102,"Stara Sagora, Bulgarien",0.0011516025277746
88712.8828125,904.9132434,386,"Zagreb, Kroatien",0.0043511155061417
90779.4296875,361.9587931,104,"Itzehoe , Schleswig-Holstein",0.00114563398732522
90967.3828125,299.1891194,511,"Erfurt , Thüringen",0.00561739806292176
