pops,distance,countsum,orte,norm,
8283.069336,3016.642092,100,"Homs, Syrien",0.012072819,
81850000,7805.169554,145,"Sichuan, China",0.000001772,
17865.15039,319.8035361,148,"Cuxhaven, Niedersachsen",0.008284285,
22111.16992,393.1107774,457,"Hindenburg, Sachsen-Anhalt",0.020668287,
23145.59961,381.7628776,142,"Stendal, Sachsen-Anhalt",0.006135075,
23180.85938,1122.321377,103,"Split, Kroatien",0.004443321,
23733.46094,2497.756745,182,"Kirsehir, Türkei",0.007668498,
29227.99023,114.7465557,119,"Prüm , Rheinland-Pfalz",0.00407144,
31502.85938,3312.590478,113,"Mosul, Irak",0.003586976,
32824.62109,111.3353755,116,"Gerolstein , Rheinland-Pfalz",0.003533933,
33400.89063,485.4218934,206,"Schwerin, Brandenburg",0.0061675,
34643.35156,2589.739064,170,"Avanos, Türkei",0.004907146,
34711.14844,324.8810839,108,"Uelzen, Niedersachsen",0.003111392,
37394.53125,2562.262705,263,"Aksaray, Türkei",0.007033114,
37911.82813,2630.279481,106,"Kayseri, Türkei",0.002795961,
39339.83984,413.7047252,174,"Wittenberg, Sachsen-Anhalt",0.004422997,
42784.07031,226.4935276,110,"Husum, Niedersachsen",0.00257105,
42804.69922,413.9229371,122,"Schleswig , Schleswig-Holstein",0.002850154,
42983.83984,3090.919423,573,"Damaskus, Syrien",0.013330591,
43867.46094,1814.782222,215,"Komotini, Griechenland",0.004901127,
46616.83984,1196.753974,246,"Sarajevo, Bosnien und Herzegowina",0.005277063,
47687.53125,1737.919775,155,"Drama, Griechenland",0.003250326,
47752.26953,511.2312723,101,"Eberswalde, Brandenburg",0.002115083,
47940.69922,2925.462266,503,"Aleppo, Syrien",0.010492129,
49433.82031,162.9030352,466,"Haselünne, Niedersachsen<br>Lingen (Ems), Niedersachsen<br>Meppen, Niedersachsen",0.009426745,
49819.44141,1157.536956,160,"Tuzla, Bosnien und Herzegowina",0.003211598,
50845.19922,814.2599648,220,"Groß Strehlitz, Polen",0.004326859,
51057.14063,1142.27792,106,"Zenica, Bosnien und Herzegowina",0.002076105,
51079.53906,1942.812443,792,"Nador, Marokko",0.01550523,
51147.87109,393.646554,308,"Monheim (Bayern), Bayern",0.006021756,
51484.14844,200.5258988,137,"Cloppenburg, Niedersachsen",0.002661013,
52154.35938,137.1739635,118,"Wittlich , Rheinland-Pfalz",0.002262515,
52540.78906,394.3730955,129,"Rendsburg , Schleswig-Holstein",0.002455235,
54116.53125,1199.485271,125,"Sabac, Serbien",0.00230983,
54311.30859,513.3949516,117,"Neubrandenburg, Mecklenburg-Vorpommern",0.002154247,
55793.98047,1241.326102,1084,"Belgrad, Serbien",0.019428619,
55931.89063,2170.411793,178,"Kenitra, Marokko",0.003182442,
57017.16016,288.2390159,102,"Wernigerode, Sachsen-Anhalt",0.001788935,
57157.67969,1782.566298,103,"Xanthi, Griechenland",0.001802033,
58009.07031,198.1651677,143,"Vechta, Niedersachsen",0.002465132,
58293.39063,208.9120841,119,"Bad Hersfeld, Hessen",0.002041398,
58982.64844,304.6609965,120,"Halberstadt, Sachsen-Anhalt",0.002034497,
59240.96094,1971.958966,329,"Ben Taieb, Marokko<br>Beni Oulichek, Marokko",0.00555359,
59461.98047,287.8401001,227,"Stolberg, Sachsen-Anhalt<br>Nordhausen , Thüringen",0.003817565,
61548.14063,220.4270736,292,"Leer (Ostfriesland), Niedersachsen<br>Papenburg, Niedersachsen",0.004744254,
63809.41016,128.2899477,443,"Rheine , Nordrhein-Westfalen",0.00694255,
64033.33984,550.7534804,180,"Frankfurt an der Oder, Brandenburg",0.002811036,
