Geburtsland,Geburtsort,Geburtsort_Land,Anzahl,Lat_Bing,Long_Bing,Distanz
Baden-Württemberg,Baden-Baden,"Baden-Baden, Baden-Württemberg",110,48.78150177,8.203570366,289.2574377
Baden-Württemberg,Freiburg,"Freiburg, Baden-Württemberg",607,47.99853134,7.849649906,365.873534
Baden-Württemberg,Heidelberg,"Heidelberg, Baden-Württemberg",617,49.4134903,8.708069801,243.0183878
Baden-Württemberg,Heilbronn,"Heilbronn, Baden-Württemberg",208,49.13830185,9.237910271,290.2129486
Baden-Württemberg,Karlsruhe,"Karlsruhe, Baden-Württemberg",611,49.00540161,8.386870384,271.3400063
Baden-Württemberg,Konstanz,"Konstanz, Baden-Württemberg",120,47.67670059,9.182880402,430.2429327
Baden-Württemberg,Ludwigsburg,"Ludwigsburg, Baden-Württemberg",113,48.89319992,9.194270134,310.8170184
Baden-Württemberg,Mannheim,"Mannheim, Baden-Württemberg",464,49.48120117,8.482709885,227.8620814
Baden-Württemberg,Pforzheim,"Pforzheim, Baden-Württemberg",212,48.89350128,8.706979752,292.7970386
Baden-Württemberg,Reutlingen,"Reutlingen, Baden-Württemberg",131,48.49499893,9.202969551,349.0975437
Baden-Württemberg,Rheinhausen,"Rheinhausen, Baden-Württemberg",123,48.22679138,7.710529804,338.9569405
Baden-Württemberg,Stuttgart,"Stuttgart, Baden-Württemberg",1097,48.76766968,9.171919823,321.7563452
Baden-Württemberg,Tübingen,"Tübingen, Baden-Württemberg",270,48.52130127,9.052980423,341.2503298
Baden-Württemberg,Ulm,"Ulm, Baden-Württemberg",215,48.39459991,9.968560219,388.6720594
Baden-Württemberg,Villingen-Schwenningen,"Villingen-Schwenningen, Baden-Württemberg",131,48.06216049,8.538020134,372.8539348
Bayern,Aschaffenburg,"Aschaffenburg, Bayern",157,49.98799896,9.109880447,214.2816863
Bayern,Augsburg,"Augsburg, Bayern",252,48.35509872,10.93309975,436.5638867
Bayern,Bad Kissingen,"Bad Kissingen, Bayern",138,50.19189835,10.06379986,258.6105092
Bayern,Bamberg,"Bamberg, Bayern",130,49.89030075,10.90579987,327.6006982
Bayern,Bayreuth,"Bayreuth, Bayern",102,49.91949844,11.5600996,368.2049293
Bayern,Coburg,"Coburg, Bayern",125,50.26570129,10.93809986,312.1408436
Bayern,Erlangen,"Erlangen, Bayern",184,49.58729935,11.02579975,352.1318876
Bayern,Monheim (Bayern),"Monheim (Bayern), Bayern",308,48.83929825,10.85140038,393.646554
Bayern,München,"München, Bayern",1673,48.10155106,11.57227039,489.411443
Bayern,Nürnberg,"Nürnberg, Bayern",505,49.46519852,11.07600021,362.6240195
Bayern,Regensburg,"Regensburg, Bayern",166,49.02399826,12.07590008,450.397446
Bayern,Schweinfurt,"Schweinfurt, Bayern",142,50.04539871,10.23159981,276.9083855
Bayern,Würzburg,"Würzburg, Bayern",488,49.80350113,9.944020271,274.079854
Berlin,Berlin,"Berlin, Berlin",5692,52.51607132,13.37697983,476.9283607
Brandenburg,Brandenburg an der Havel,"Brandenburg an der Havel, Brandenburg",208,52.41090012,12.50090027,416.4389623
Brandenburg,Cottbus,"Cottbus, Brandenburg",210,51.76089859,14.35079956,529.3657332
Brandenburg,Eberswalde,"Eberswalde, Brandenburg",101,52.832901,13.75199986,511.2312723
Brandenburg,Frankfurt an der Oder,"Frankfurt an der Oder, Brandenburg",180,52.34370041,14.55099964,550.7534804
Brandenburg,Potsdam,"Potsdam, Brandenburg",303,52.38288879,13.04601002,451.4151898
Brandenburg,Schwerin,"Schwerin, Brandenburg",206,52.15819931,13.63269997,485.4218934
Bremen,Bremen,"Bremen, Bremen",1278,53.07509995,8.804690361,249.0572251
Bremen,Bremerhaven,"Bremerhaven, Bremen",320,53.52610016,8.623869896,286.0804593
Hamburg,Hamburg,"Hamburg, Hamburg",2775,53.55334091,9.992469788,339.8463742
Hessen,Bad Hersfeld,"Bad Hersfeld, Hessen",119,50.86500168,9.702589989,208.9120841
Hessen,Bad Homburg von der Höhe,"Bad Homburg von der Höhe, Hessen",112,50.22650146,8.611969948,169.9908995
Hessen,Bad Soden am Taunus,"Bad Soden am Taunus, Hessen",101,50.15670013,8.49489975,169.1455426
Hessen,Darmstadt,"Darmstadt, Hessen",332,49.85340118,8.646519661,201.2763454
Hessen,Frankfurt am Main,"Frankfurt am Main, Hessen",1621,50.11207962,8.683409691,182.2981758
Hessen,Fulda,"Fulda, Hessen",220,50.54769897,9.671759605,216.8774269
Hessen,Gießen,"Gießen, Hessen",361,50.58409882,8.678359985,151.1175413
Hessen,Hanau,"Hanau, Hessen",182,50.13539886,8.917329788,193.1970998
Hessen,Kassel,"Kassel, Hessen",732,51.31610107,9.468520164,188.2441752
Hessen,Marburg,"Marburg, Hessen",407,50.80550003,8.777580261,147.6803262
Hessen,Offenbach am Main,"Offenbach am Main, Hessen",259,50.10329819,8.777469635,187.9206156
Hessen,Weimar an der Lahn,"Weimar an der Lahn, Hessen",162,50.7597084,8.733200073,146.4680147
Hessen,Wiesbaden,"Wiesbaden, Hessen",559,50.08459854,8.242289543,162.9730524
Mecklenburg-Vorpommern,Greifswald,"Greifswald, Mecklenburg-Vorpommern",144,54.08974457,13.39124393,549.713313
Mecklenburg-Vorpommern,Neubrandenburg,"Neubrandenburg, Mecklenburg-Vorpommern",117,53.55918503,13.27782536,513.3949516
Mecklenburg-Vorpommern,Rostock,"Rostock, Mecklenburg-Vorpommern",410,54.0790596,12.13216019,482.2837847
Mecklenburg-Vorpommern,Stralsund,"Stralsund, Mecklenburg-Vorpommern",134,54.30881119,13.09450722,547.609523
Niedersachsen,Aurich,"Aurich, Niedersachsen",131,53.46720123,7.488900185,255.0525756
