Geburtsland;Geburtsort;Geburtsort korrigiert;Geburtsort_Land kombiniert;Anzahl Personen;Notizen;Lat_Bing;Long_Bing;Distanz zu Düsseldorf
Baden-Württemberg;BadenBaden Stadt;Baden-Baden;Baden-Baden, Baden-Württemberg;110;;48,78150177;8,203570366;
Baden-Württemberg;Freiburg im Breisgau Stadt;Freiburg;Freiburg, Baden-Württemberg;607;;47,99853134;7,849649906;
Baden-Württemberg;Heidelberg Stadt;Heidelberg;Heidelberg, Baden-Württemberg;617;;49,4134903;8,708069801;
Baden-Württemberg;Heilbronn Stadt;Heilbronn;Heilbronn, Baden-Württemberg;208;;49,13830185;9,237910271;
Baden-Württemberg;Karlsruhe Stadt;Karlsruhe;Karlsruhe, Baden-Württemberg;611;;49,00540161;8,386870384;
Baden-Württemberg;Konstanz Universitätsstadt;Konstanz;Konstanz, Baden-Württemberg;120;;47,67670059;9,182880402;
Baden-Württemberg;Ludwigsburg Stadt;Ludwigsburg;Ludwigsburg, Baden-Württemberg;113;;48,89319992;9,194270134;
Baden-Württemberg;Mannheim Universitätsstadt;Mannheim;Mannheim, Baden-Württemberg;464;;49,48120117;8,482709885;
Baden-Württemberg;Pforzheim Stadt;Pforzheim;Pforzheim, Baden-Württemberg;212;;48,89350128;8,706979752;
Baden-Württemberg;Reutlingen Stadt;Reutlingen;Reutlingen, Baden-Württemberg;131;;48,49499893;9,202969551;
Baden-Württemberg;Rheinhausen;Rheinhausen;Rheinhausen, Baden-Württemberg;123;;48,22679138;7,710529804;
Baden-Württemberg;Stuttgart Landeshauptstadt;Stuttgart;Stuttgart, Baden-Württemberg;1097;;48,76766968;9,171919823;
Baden-Württemberg;Tübingen Universitätsstadt;Tübingen;Tübingen, Baden-Württemberg;270;;48,52130127;9,052980423;
Baden-Württemberg;Ulm Universitätsstadt;Ulm;Ulm, Baden-Württemberg;215;;48,39459991;9,968560219;
Baden-Württemberg;VillingenSchwenningen Stadt;Villingen-Schwenningen;Villingen-Schwenningen, Baden-Württemberg;131;;48,06216049;8,538020134;
Bayern;Aschaffenburg;Aschaffenburg;Aschaffenburg, Bayern;157;;49,98799896;9,109880447;
Bayern;Augsburg;Augsburg;Augsburg, Bayern;252;;48,35509872;10,93309975;
